video_id,comment_id
n_Lv_mw6m6c,Ugy51_CjmK1SZfjKLgl4AaABAg
n_Lv_mw6m6c,UgyzAyRnjtp8Qyj8UWR4AaABAg
n_Lv_mw6m6c,UgzXSi7T6SgFkMgWxWV4AaABAg
n_Lv_mw6m6c,UgwTEr7rlVyXoq4Dq_14AaABAg
n_Lv_mw6m6c,Ugy8qEZx7OL492lbG094AaABAg
n_Lv_mw6m6c,UgzjbG1oU7WyufBER7x4AaABAg
n_Lv_mw6m6c,Ugyq3Y8qAAbw56zXraZ4AaABAg
n_Lv_mw6m6c,Ugzet6SFYunzvEtaY414AaABAg
n_Lv_mw6m6c,UgxQR6IM7daguctWtn54AaABAg
n_Lv_mw6m6c,UgyNQgVAAM7RKM4McqZ4AaABAg
n_Lv_mw6m6c,UgxYFdA6wgTPbzQaQGV4AaABAg
n_Lv_mw6m6c,Ugx2YL5g665wVu_mvDZ4AaABAg
n_Lv_mw6m6c,UgxGrAFO35VYAzHf14B4AaABAg
n_Lv_mw6m6c,UgwQwnEgLod8Q8jPHxx4AaABAg
n_Lv_mw6m6c,Ugwpp0x-fQwICUBuh3J4AaABAg
n_Lv_mw6m6c,UgwvKvvU3AwuksfkFTZ4AaABAg
n_Lv_mw6m6c,UgzI1VjOGdSXQm8r7fZ4AaABAg
n_Lv_mw6m6c,Ugz7TNpTbPfVhmEc3fJ4AaABAg
n_Lv_mw6m6c,Ugyb9SENdZo1aBiBZi14AaABAg
n_Lv_mw6m6c,UgwVs0kssq70VjmEJlt4AaABAg
n_Lv_mw6m6c,Ugx3oP0CM9UeBQGZV_R4AaABAg
n_Lv_mw6m6c,UgwnZ1Fw693ijm41s_B4AaABAg
n_Lv_mw6m6c,UgwVkWC7gBjHsGB5yQF4AaABAg
n_Lv_mw6m6c,UgyAO8KsplrMFwD0D8x4AaABAg
n_Lv_mw6m6c,Ugw5W2uVMgDKteQBvGh4AaABAg
n_Lv_mw6m6c,UgyjiPmAUuXJflRvYd14AaABAg
n_Lv_mw6m6c,UgzvBgpg3Jg1b4sP0294AaABAg
n_Lv_mw6m6c,Ugwm1A6FRuAiMDlOS_V4AaABAg
n_Lv_mw6m6c,UgwFFsNVXSZ0DRTpOkt4AaABAg
n_Lv_mw6m6c,UgxWwzgSKQjRvbDgJBF4AaABAg
n_Lv_mw6m6c,UgyGC6Axz1iDd4UzJIt4AaABAg
n_Lv_mw6m6c,UgyBauwm51VEGYdEo8h4AaABAg
n_Lv_mw6m6c,Ugx_q-Y9dp72cH_IMht4AaABAg
n_Lv_mw6m6c,Ugx5KEZC5sk2fwHjdRJ4AaABAg
n_Lv_mw6m6c,UgxDtuKV59OBUryrl054AaABAg
n_Lv_mw6m6c,Ugz0tvdNnMIpvv-URRV4AaABAg
n_Lv_mw6m6c,UgwG6s-c5_IfTauphYd4AaABAg
n_Lv_mw6m6c,UgzT-qegAvbfxECOYV54AaABAg
n_Lv_mw6m6c,UgyiphedSAPnbHtD7Ol4AaABAg
n_Lv_mw6m6c,Ugx3IkABJeCaUscvD2R4AaABAg
n_Lv_mw6m6c,UgzM9TYhDXS482ULvKx4AaABAg
n_Lv_mw6m6c,UgzfxSd4nUfCHDgUPPh4AaABAg
n_Lv_mw6m6c,Ugy_4_4fohMWD3prRkB4AaABAg
n_Lv_mw6m6c,UgzxWhjm4dGcEeispOp4AaABAg
n_Lv_mw6m6c,UgynBPP7twlkj_ZqUdB4AaABAg
n_Lv_mw6m6c,UgxSLIUabg4YEZFZtm14AaABAg
n_Lv_mw6m6c,Ugy-xLF1abm130Dnjqp4AaABAg
n_Lv_mw6m6c,Ugw96jUSdFOvYwzE70d4AaABAg
n_Lv_mw6m6c,UgyL2GuSzGEr_RpNh9J4AaABAg
n_Lv_mw6m6c,UgzyQsbR2tpkJj3K4BN4AaABAg
n_Lv_mw6m6c,UgwGeks72AXQqlsAN6J4AaABAg
n_Lv_mw6m6c,UgwK8CkxFaVkf9p5Fxp4AaABAg
n_Lv_mw6m6c,UgxoL9a1pzf25o0i4aB4AaABAg
n_Lv_mw6m6c,Ugy3i6Z3YFvTM_0ZXo54AaABAg
n_Lv_mw6m6c,UgxLeijoxJt1VlY4zZp4AaABAg
n_Lv_mw6m6c,Ugxcy_4IJY5K_GD0rOJ4AaABAg
n_Lv_mw6m6c,UgzvmTWlWoLBsKlhiwt4AaABAg
n_Lv_mw6m6c,UgwuOxSyiIwzTlV_-Sd4AaABAg
n_Lv_mw6m6c,UgwMt7HHtmz1eADm8op4AaABAg
n_Lv_mw6m6c,UgzU-IcMuvmMlZTkSN14AaABAg
n_Lv_mw6m6c,UgyCgqruZoOLjta9YIt4AaABAg
n_Lv_mw6m6c,UgwhkhqzClIayluV7Nd4AaABAg
n_Lv_mw6m6c,Ugz5GIDB9oprW6M78Td4AaABAg
n_Lv_mw6m6c,Ugy6GAHWo4dOpBubLUd4AaABAg
n_Lv_mw6m6c,Ugz9gk80fa6DwJQV0hJ4AaABAg
n_Lv_mw6m6c,Ugxz5wJA8Nl5q5q6uHp4AaABAg
n_Lv_mw6m6c,Ugwmm-IJtVa6L-SpO-B4AaABAg
n_Lv_mw6m6c,Ugyu5YxD6CqL8TmQofF4AaABAg
n_Lv_mw6m6c,Ugx-vtog3XJ1nBaugQF4AaABAg
n_Lv_mw6m6c,UgwUoEoVWYFt6WgRuT14AaABAg
n_Lv_mw6m6c,UgyJtBmluiMxf8TDbyt4AaABAg
n_Lv_mw6m6c,Ugy5zHfN-v3D76-UeNt4AaABAg
n_Lv_mw6m6c,UgwnN5nM209GsISRPGd4AaABAg
n_Lv_mw6m6c,Ugw6x2nh4g7yYhohQFZ4AaABAg
n_Lv_mw6m6c,Ugw6x2nh4g7yYhohQFZ4AaABAg.ANaBFrnp8wcANaBQ3HPoTD
n_Lv_mw6m6c,UgyLONpQAx7JYIWf_3d4AaABAg
n_Lv_mw6m6c,UgyYBq0Xq1l16X8qmTB4AaABAg
n_Lv_mw6m6c,UgypprRXrz17aIV-arR4AaABAg
n_Lv_mw6m6c,Ugy7C31pqTyntgx7JYV4AaABAg
n_Lv_mw6m6c,UgyoY9X-snqxWwz5ErJ4AaABAg
n_Lv_mw6m6c,UgxerqIz4Yids38RA894AaABAg
n_Lv_mw6m6c,UgwwrnGnKK8uZHtOv0F4AaABAg
n_Lv_mw6m6c,UgyhWDVLInoRrYEkFrF4AaABAg
n_Lv_mw6m6c,UgzvGlOWbMjG7X1T9VV4AaABAg
n_Lv_mw6m6c,UgwkKnd_lCyehVihHTJ4AaABAg
n_Lv_mw6m6c,Ugxn1cZY6b3drjX8AYN4AaABAg
n_Lv_mw6m6c,Ugwlnor1OegYhl386Fh4AaABAg
n_Lv_mw6m6c,Ugx1_VrEt3_OfOhc7Hh4AaABAg
n_Lv_mw6m6c,Ugxk9ivMdw7oeEh4aAx4AaABAg
n_Lv_mw6m6c,UgzhrQzx6Xbzrn9Wbwl4AaABAg
n_Lv_mw6m6c,Ugw6xXRYB2R_SEO0HtB4AaABAg
n_Lv_mw6m6c,Ugze-tfNINyYx5ItS8x4AaABAg
n_Lv_mw6m6c,UgzOxKyz9Y278sI5rF54AaABAg
n_Lv_mw6m6c,UgyBdp-P4oR2H1rVWAx4AaABAg
n_Lv_mw6m6c,Ugw9SrZbudg8kEmVL6V4AaABAg
n_Lv_mw6m6c,UgxfuM3LvQxYGi3z6a94AaABAg
n_Lv_mw6m6c,UgyeFE4HjThkPbIN-n14AaABAg
n_Lv_mw6m6c,Ugxtapekb2KkC7ZObel4AaABAg
n_Lv_mw6m6c,UgxyEZx3Ndewp5qtzp54AaABAg
n_Lv_mw6m6c,Ugw8QaoZlS2-9PSmw414AaABAg
n_Lv_mw6m6c,Ugw9qoqMV67nDoiIBjR4AaABAg
n_Lv_mw6m6c,Ugzpo6YBLbiVflMF-nF4AaABAg
n_Lv_mw6m6c,UgwiGia_XNw4n08W62Z4AaABAg
n_Lv_mw6m6c,UgxbfF-_n-nxYu1Wsu14AaABAg
n_Lv_mw6m6c,UgwfoPac7mt5Z9v-DeB4AaABAg
n_Lv_mw6m6c,UgzNNfaif4JKqfOTY4t4AaABAg
n_Lv_mw6m6c,Ugxc_v9B-GlNRFjrQXZ4AaABAg
n_Lv_mw6m6c,Ugy-tKtdtzBOBkaZnld4AaABAg
n_Lv_mw6m6c,UgxioyidJEG2tJJu9Il4AaABAg
n_Lv_mw6m6c,UgyGk_7xEQi93cAyi4B4AaABAg
n_Lv_mw6m6c,Ugwltyhj8ANTP8MvGG14AaABAg
n_Lv_mw6m6c,UgxGJNTDJDPYQnLIaUN4AaABAg
n_Lv_mw6m6c,Ugy1jplQB_-Rj5-APBJ4AaABAg
n_Lv_mw6m6c,UgzH-01xYpaZpQHYb2t4AaABAg
n_Lv_mw6m6c,Ugx7VTibwwtbgB0b-SV4AaABAg
n_Lv_mw6m6c,UgxLCrB7SVQOLsObvXR4AaABAg
n_Lv_mw6m6c,Ugz4HkkEBeRHj_5qwwZ4AaABAg
n_Lv_mw6m6c,Ugw0Sha479woC1XSPPp4AaABAg
n_Lv_mw6m6c,Ugw52vRT29pEOpIwzLt4AaABAg
n_Lv_mw6m6c,Ugx-WDlFQf5_tZXvqyF4AaABAg
n_Lv_mw6m6c,Ugy9Iad0qN6B7lMBhKN4AaABAg
n_Lv_mw6m6c,UgzoHH4F_xhMsKHbbfZ4AaABAg
n_Lv_mw6m6c,UgxrEVnavdGcn3VBjj14AaABAg
n_Lv_mw6m6c,UgwKWtDRoYjGRgBQPih4AaABAg
n_Lv_mw6m6c,Ugz7gd406pVObPk-vDx4AaABAg
n_Lv_mw6m6c,Ugx4aZ1mDrKYfBku4194AaABAg
n_Lv_mw6m6c,UgxTcDndwDDRMZqx6Wx4AaABAg
n_Lv_mw6m6c,UgygzmYgiVieTx7ISvZ4AaABAg
n_Lv_mw6m6c,Ugy9BeAnCWuanjVsmXF4AaABAg
n_Lv_mw6m6c,UgxrfW3HivyKEsnU16l4AaABAg
n_Lv_mw6m6c,Ugz09E4yvGihwDI15uN4AaABAg
n_Lv_mw6m6c,UgwkU90CHDBgqOM8PcF4AaABAg
n_Lv_mw6m6c,UgxIC6So1B5i9ZoV-CV4AaABAg
n_Lv_mw6m6c,Ugw02YMuOTbuGh1Cbgp4AaABAg
n_Lv_mw6m6c,UgzC9bJFkIdEC7yRXFd4AaABAg
n_Lv_mw6m6c,UgzGW1dUUByJwxBQXhB4AaABAg
n_Lv_mw6m6c,UgxYkGX-L72QBFKGuaV4AaABAg
n_Lv_mw6m6c,UgwBeuaDWnF2m4qmXy14AaABAg
n_Lv_mw6m6c,UgwLhGamvgYfsYz3OCV4AaABAg
n_Lv_mw6m6c,UgwiHCMKQ5R8_Ncf5414AaABAg
n_Lv_mw6m6c,UgzhyIRPfYt0KZqL2v94AaABAg
n_Lv_mw6m6c,UgxtIcZZOYLGkFvi_UF4AaABAg
n_Lv_mw6m6c,UgwdfF2wDWsq1Os4hY94AaABAg
n_Lv_mw6m6c,UgwHJRvQIbDmwoUX_ml4AaABAg
n_Lv_mw6m6c,Ugzu97izLRqQ_bzDUnx4AaABAg
n_Lv_mw6m6c,Ugxo1ItlvesfqPh_Xeh4AaABAg
n_Lv_mw6m6c,UgwTUyToAOoVX_XSGYB4AaABAg
n_Lv_mw6m6c,Ugx-Ni2YTuj5-9TWa0J4AaABAg
n_Lv_mw6m6c,UgzFerykz6K0NSjaUb54AaABAg
n_Lv_mw6m6c,UgyCvGVp1UkjSj1HN8l4AaABAg
n_Lv_mw6m6c,UgyqDOV2pGUqi6DYiIB4AaABAg
n_Lv_mw6m6c,Ugz5z_1QzbScdg-fLkN4AaABAg
n_Lv_mw6m6c,Ugwdu620j5hjXkFrYGx4AaABAg
n_Lv_mw6m6c,UgwXHI5wxhGMabne7SN4AaABAg
n_Lv_mw6m6c,UgwnxRe50xlRdcfInst4AaABAg
n_Lv_mw6m6c,UgwTlJdcGRZXl1XBl5d4AaABAg
n_Lv_mw6m6c,Ugz-5ro2LYSnhqDwk3B4AaABAg
n_Lv_mw6m6c,UgwbM5xHSqetXUgyYHF4AaABAg
n_Lv_mw6m6c,UgyvRNHYCLBJqLw8iUl4AaABAg
n_Lv_mw6m6c,Ugz8xwCb8ry9TOCYTg94AaABAg
n_Lv_mw6m6c,UgwHAGl6BYx_ntws2354AaABAg
n_Lv_mw6m6c,UgxEiAKCOI3wnuLPX7N4AaABAg
n_Lv_mw6m6c,UgwKgosAWsdBfhsIgNZ4AaABAg
n_Lv_mw6m6c,UgxQXpK7mq31kQCbKIV4AaABAg
n_Lv_mw6m6c,UgxZqNtWcAmV9tTrA2J4AaABAg
n_Lv_mw6m6c,UgyV-IBdsUuX_oCQIP14AaABAg
n_Lv_mw6m6c,UgwBq2dOIW4vjHyZYkF4AaABAg
n_Lv_mw6m6c,UgznILW_PB-s3dJrazR4AaABAg
n_Lv_mw6m6c,UgzqoO0N1w2h8jqwybZ4AaABAg
n_Lv_mw6m6c,UgxYpgz72GOBCIZgQgx4AaABAg
n_Lv_mw6m6c,Ugzp0ODdtc2qDHWFCLx4AaABAg
n_Lv_mw6m6c,UgwT7cih-3JPlKQBz1d4AaABAg
n_Lv_mw6m6c,Ugx7-hdzwkxPtbCorDJ4AaABAg
n_Lv_mw6m6c,Ugxt5hcqnj9upVlVWR94AaABAg
n_Lv_mw6m6c,Ugw19Rx16TKDWnzlqp54AaABAg
n_Lv_mw6m6c,UgxxfXgA0Z5c8haZVRB4AaABAg
n_Lv_mw6m6c,UgwUMAB0ux3bdRGBiCJ4AaABAg
n_Lv_mw6m6c,UgxNwLkSoGyU9RM73n14AaABAg
n_Lv_mw6m6c,UgxjtckfbovBaGpecmV4AaABAg
n_Lv_mw6m6c,Ugzt816pIxtWYdemO_F4AaABAg
n_Lv_mw6m6c,UgxYKGcfdjNQSXDyTwB4AaABAg
n_Lv_mw6m6c,UgznJq-jWiIy7pR35rt4AaABAg
n_Lv_mw6m6c,Ugxwf033ruvZnnrV5W94AaABAg
n_Lv_mw6m6c,UgzPzmIrWo5VufdlqNd4AaABAg
n_Lv_mw6m6c,UgyqBO9QXNnBQdjxbsJ4AaABAg
n_Lv_mw6m6c,Ugzd5S43QtmFXB5rtMl4AaABAg
n_Lv_mw6m6c,Ugyp_Gwyl3j3-xf6_k94AaABAg
n_Lv_mw6m6c,Ugz-RvMPuJaU6nrt1pV4AaABAg
n_Lv_mw6m6c,UgyQhSQBAktnNN6cnEd4AaABAg
n_Lv_mw6m6c,UgyLPfw5v_SiKZ8D5hh4AaABAg
n_Lv_mw6m6c,Ugz8u6wFpA9H5AGyYIR4AaABAg
n_Lv_mw6m6c,Ugyh-MU8VwFAFQCHybd4AaABAg
n_Lv_mw6m6c,UgwSra7ZVKkUoz3qWAR4AaABAg
n_Lv_mw6m6c,UgzK2liw7M6xnDlPQt14AaABAg
n_Lv_mw6m6c,UgyCEW8w8DWFashnYQZ4AaABAg
n_Lv_mw6m6c,UgxMuESPCKVaTQwhRaR4AaABAg
n_Lv_mw6m6c,UgyDxy1nNhm_Us8iUM54AaABAg
n_Lv_mw6m6c,Ugw5vdjpN6547Sy3xEF4AaABAg
n_Lv_mw6m6c,UgwitRefUW_StTE5f7B4AaABAg
n_Lv_mw6m6c,UgyGxtu9nmykU7h2y-R4AaABAg
n_Lv_mw6m6c,Ugxwrn3vacLHRPi8OZR4AaABAg
n_Lv_mw6m6c,UgzY7LQf0WEgkKY93o54AaABAg
n_Lv_mw6m6c,UgzLRErkSa0q4jHxAxt4AaABAg
n_Lv_mw6m6c,UgwdS_GSCPRQH2M_UYN4AaABAg
n_Lv_mw6m6c,UgygMcG5FBdXV69MDb54AaABAg
n_Lv_mw6m6c,Ugyhl_2HGs5JWJeikOp4AaABAg
n_Lv_mw6m6c,UgyV7WJQHGFJD3b6Lah4AaABAg
n_Lv_mw6m6c,UgzsPwtbx_rGukft2N14AaABAg
n_Lv_mw6m6c,UgyfNx37YZnnHpp2IT94AaABAg
n_Lv_mw6m6c,UgxUfzMSmUHP9m71Lrh4AaABAg
n_Lv_mw6m6c,UgzS1yQ6zCKZsfXoi7V4AaABAg
