word,comment_id
great,UgxFNXzHL443ZQZmrlB4AaABAg
great,UgySCf0jWA3PR7XOlU54AaABAg
great,UgxeoAV04q9VBSToCLx4AaABAg
great,UgwO--cIU6BX0QVdWfd4AaABAg
great,UgzEDF_Wfqrh2T9k-614AaABAg
great,UgyfR3D-CQ37KUs_dAV4AaABAg
great,UgxKhPGDUpqAi1Nm4294AaABAg
great,Ugy9kZDPgz59rMOF-xR4AaABAg
great,Ugw391itE2v26Jyrsll4AaABAg
great,UgwelT06FzoWEEJSUwF4AaABAg
great,UgwlPdsSGD2B5VAhqEF4AaABAg
great,UgwlPdsSGD2B5VAhqEF4AaABAg.ANDQg2lEkxpANDmj6lQWXh
great,UgxnRZ3BNPfn2Y3VIrV4AaABAg
great,Ugy9_A7_TsC_3zWqUTV4AaABAg
great,UgwAsEF9Ut851fYDPCh4AaABAg
great,UgzbSOmeknSiPL80B3F4AaABAg.ANDKNnr8C-GANDKhl_5-N8
great,UgxO5msBsbMIKgnGvR94AaABAg
great,UgyaKqi59ehq_QxMCRF4AaABAg
great,UgxcvPOJXmnd1y0jWYd4AaABAg
great,UgxE4PjsQ6BnvB2hyTJ4AaABAg
great,UgyctCxZEn5EiWQKHWZ4AaABAg
great,UgxGkr9F_J8icWrWzwF4AaABAg
great,Ugz4_0Ki3U0OIIub8Hp4AaABAg
great,Ugy0hOffxATzMV4rUst4AaABAg
great,Ugy4Zh0DIgArnaJXwBd4AaABAg
great,UgzZ4BQipfjm39extnp4AaABAg
great,Ugy4grdtdo74p6Ywz6d4AaABAg
great,UgzGiMcEtF0EpZLUebl4AaABAg
great,Ugw3KphuLSpRuRB_8nJ4AaABAg
great,UgyZwlJ772V55Cxj8d14AaABAg
great,UgxPx9o4KwoT1FIayVd4AaABAg
great,Ugxw-DfkUJCEHwYmbkJ4AaABAg
great,UgyDOK29PTN2ADGLwNx4AaABAg
great,Ugy5ErIREjo2c4OkyxR4AaABAg
great,UgxMeWecAY7e1kgrbMd4AaABAg
great,Ugxugq_bAM499USNmQ94AaABAg
great,UgxVmlqwk4VqgVW3Adt4AaABAg
great,UgzLtdfEqlQeKNPQU3Z4AaABAg
great,Ugwpip3MiBYj3UpSsNJ4AaABAg
great,Ugysa0VGvUCW8hgQyVR4AaABAg
